ParticipantNum,Condition #: ,Analysis Start Time (00:00.00),Analysis End Time (00:00.00),Time of Exclusion (when it starts): ,Total video analysis time (in seconds with hundredths),IncorrectDet,"Any Additional Notes About Recording (e.g. Face was covered at (time), pt head out of frame, Noldus couldn't detect anything, poor video quality, poor lighting, PT wearing glasses, etc) ",Video Analysis/Cleaning Completed by:,PT Analysis doubled checked and 100th of a second added,Total Time of Face Not Detected (FIND_FAIL/FIT_FAIL) During Analysis (in seconds with hundredth),Total Time of Face Incorrectly Detected During Analysis (in seconds with hundredth),Total Time Deleted from Analysis (in seconds with hundredth),Portion of Video Not Usable,Data Exported/Cleaned by:
N/A,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,
N/A,,,,,,http://www.grun1.com/utils/timeDiff.cfm,,,,,,,,
5,3,03:00.1,11:08.6,4:52,488.5,"03:03.3-03:05.7, 03:31.2-03:31.6, 03:33.0-03:35.3, 03:59.4-03:59.7, 04:01.3-04:01.7, 04:12.8-04:13.8, 04:15.2-04:17.1, 04:18.0-04:21.2, 04:47.3-05:13.7, 05:17.7-05:27.9, 05:33.4-05:47.8, 05:56.1-05:57.4, 07:09.8-07:10.1, 07:19.2-07:20.6, 07:25.0-08:19.4, 8:27.1-10:12.0, 10:40.7-10:40.9, ",PT moved face a lot causing the software to lose PT's face. Also places hand in front of face at multiple times. Due to visibility of software it says PT was angry at multiple points even though doesn't seem to be. ,Sarkis,Robert,213.5,184.5,398,0.814738997,Robert/Kim/Patrick
6,1,05:24.0,14:07.6,7:13,523.57,"06:02.7-06:03.9, 06:16.7-06:25.0, 06:42.4-06:43.1, 06:45.1-06:46.2, 06:51.9-06:58.3, 07:23.5-07:41.5, 08:42.3-09:03.0, 11:38.9-11:41.4, 11:53.0-12:15.1, 12:48.8-12:49.3, 12:54.9-12:55.2, 13:00.0-13:01.2, 13:08.3-13:08.8, ",,Sarkis ,Robert,135.01,76.81,211.82,0.404568635,Robert
7,1,05:41.0,14:27.7,7:43,526.72,"05:51.4-05:58.1, 06:02.4-06:09.7, 06:10.3-06:11.2, 06:22.0-06:22.3, 06:24.5-06:24.7, 07:23.9-07:26.4, 07:33.3-08:04.5, 08:05.7-08:07.5, 8:20.1-9:16.4, 09:46.8-09:48.0, 09:57.1-09:57.3, 09:59.8-10:33.8, 10:36.8-10:54.4, 10:58.411:01.2, 11:12.5-11:18.7, 11:40.8-11:45.6, 12:04.9-12:07.2, 12:19.3-12:20.5, 12:26.2-14:23.7","Participant was looking down at phone for parts of exclusion, noldus had trouble reading pt's face at that time, hair often covering pt's right eye",Kim/Robert,Robert,37.68,281.89,319.57,0.606717041,Robert
8,3,05:47.0,13:57.0,7:15,490,"07:10.3-07:18.2, 07:56.8-08:11.6, ",,Kim/Robert,Robert,0,22.47,22.47,0.045857143,Robert
9,2,07:00.0,15:33.8,9:12,513.8,"07:00.1-07:00.7, 07:06.1-07:07.2, 07:29.6-07:30.1, 08:08.0-08:08.4, 08:23.9-08:26.9, 08:29.5-08:35.4, 08:46.0-08:46.3, 08:59.5-09:00.7, 09:02.0-09:02.6, 09:03.2-09:04.4, 09:15.2-09:15.4, 09:33.5-09:35.6, 10:12.8-10:15.9, 10:20.0-10:21.7, 10:27.2-10:29.2, 10:48.6-10:51.9, 10:53.7-10:57.0, 11:19.0-11:21.6, 11:22.6-11:28.2, 11:37.5-11:37.8, 11:47.0-11:47.5, 11:49.4-11:51.6, 11:58.8-12:01.4, 12:21.6-12:22.1, 12:25.4-12:25.9, 12:35.9-12:36.5, 12:54.4-12:55.4, 13:12.6-13:13.5, 13:14.1-13:15.1, 13:43.3-13:56.4, 13:59.7-14:02.0, 14:03.5-14:07.1, 14:32.6-14:32.9, 14:34.4-14:38.6, 14:48.4-15:09.9, 15:20.5-15:21.0, 15:28.2-15:28.5", PT wearing glasses and it might be affecting how Noldus measures PT's eyes,Kim/Robert,Robert,208.85,,208.85,0.406481121,
10,3,04:27.0,12:35.8,5:40,488.76,"04:29.1-04:29.6, 04:30.1-04:32.5, 04:32.9-04:36.6, 04:37.7-04:39.3, 04:40.2-4:55.6, 04:59.5-5:07.2, 05:09.0-05:09.5, 05:12.4-05:19.6, 05:21.5-05:30.2, 05:32.3-05:35.7, 05:38.2-5:52.6, 05:53.5-05:59.4, 06:05.7-06:09.0, 06:12.1-06:20.1, 06:24.8-6:33.0, 06:41.9-06:48.5, 06:54.2-06:54.6, 07:01.2-07:06.7, 07:07.1-07:37.8, 07:38.8-7:44.4, 07:57.8-08:01.0, 08:03.4-08:12.1, 08:16.5-08:21.0, 08:26.1-08:36.2, 08:43.0-08:46.2, 8:51.5-09:11.5, 09:13.5-09:18.6, 09:21.7-09:32.1, 09:36.5-09:51.7, 09:56.6-10:10.7, 10:16.0-10:17.7, 10:29.4-10:33.6, 10:37.1-10:44.3, 10:47.2-10:48.8, 10:57.0-10:58.1, 10:59.7-11:00.3, 11:04.4-11:10.4, 11:17.5-11:18.6, 11:21.3-11:21.5, 11:25.1-11:27.1, 11:31.3-11:35.7, 11:39.5-11:39.8, 11:47.5-11:49.5, 11:52.4-11:54.9, 11:59.2-12:21.3, 12:29.2-12:35.7  ",Video was recorded from the PT's side so it affected the way Noldus was reading the PT's face signigicantly. ,Robert/Kim,Robert,139.75,249.33,389.08,0.796055324,Robert
11,1,05:27.0,13:34.1,7:30,487.1,"05:28.30-05:29.3, 05:39.8-05:40.3, 05:47.8-05:55.6, 06:10.9-06:22.5, 06:25.3-06:29.6, 06:34.3-06:35.46, 06:37.13-06:51.2, 06:58.2-07:06.7, 07:13.7-07:23.4, 07:32.6-07:32.9, 11:29.4-12:07.6, 12:57.9-13:21.9, ",Pt wearing glasses.  pt put phone and hands in front of face during beginning of study,Sarkis/Ben/Sabrina,Robert,24.28,,24.28,0.049846028,
